CUST_ID,AREA_CODE,MINUTES_CURR_MONTH,MINUTES_PREV_MONTH,MINUTES_3MONTHS_AGO,CUST_MOS,LONGDIST_FLAG,CALLWAITING_FLAG,NUM_LINES,VOICEMAIL_FLAG,MOBILE_PLAN,CONVERGENT_BILLING,GENDER,INCOME,PHONE_PLAN,EDUCATION,TOT_MINUTES_USAGE,CHURNER
129,45987,60,456,398,13,0,1,1,1,0,Yes,M,88000,International,Masters,914,yes
130,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
131,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,High School,0,no
132,21750,678,1222,598,30,1,1,2,0,1,Yes,M,46000,International,High School,2498,yes
133,55166,110,98,56,15,1,0,1,1,0,No,M,98000,Promo_plan,High School,264,no
134,36785,97,56,97,8,0,0,1,0,1,No,M,125000,National,,250,no
135,45987,45,23,66,44,0,0,1,0,0,No,F,91000,International,PhD,134,no
147,15563,105,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,219,no
137,10040,1,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,no
138,21750,5,15,75,6,1,0,1,1,0,No,F,39000,International,,95,no
139,36785,33,90,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,183,yes
140,45987,10,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,80,no
141,15563,10000,8000,944,26,1,1,3,1,1,Yes,M,225000,National,PhD,18944,yes
142,10040,565,577,650,14,1,1,1,1,1,No,M,33000,National,Masters,1792,no
143,21750,333,277,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,754,yes
144,55166,550,100,500,17,1,1,1,0,0,No,M,320000,Promo_plan,Post Primary,1150,no
145,36785,6000,7899,630,36,0,0,2,1,0,Yes,M,145000,Euro-Zone,Post Primary,14529,yes
146,45987,7800,5000,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,12824,yes
153,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
148,10040,9999,12456,1145,3,1,1,2,1,1,No,M,80000,Euro-Zone,Bachelors,23600,yes
149,21750,5,2,1,23,0,0,1,0,0,No,M,80000,International,Post Primary,8,yes
150,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,Post Primary,1031,no
151,36785,555,444,678,27,1,1,2,1,0,No,F,134000,National,PhD,1677,no
152,45987,6000,4563,398,13,0,1,1,1,0,Yes,M,88000,International,Masters,10961,yes
170,15563,105,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,219,no
154,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,no
155,21750,12000,8000,598,30,1,1,2,0,1,Yes,M,46000,International,Post Primary,20598,yes
156,55166,110,98,56,15,1,0,1,1,0,No,M,98000,Promo_plan,Post Primary,264,no
157,36785,97,56,97,8,0,0,1,0,1,No,M,125000,National,Post Primary,250,no
158,45987,45,23,66,44,0,0,1,0,0,No,F,91000,International,PhD,134,no
176,15563,2,0,4,,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
160,10040,1,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,no
161,21750,5,15,75,6,1,0,1,1,0,No,F,39000,International,Post Primary,95,yes
162,36785,100,90,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,250,yes
163,45987,10,20,50,,1,0,1,0,0,No,M,75000,International,PhD,80,no
164,15563,1004,800,944,26,1,1,3,1,1,Yes,M,225000,International,PhD,2748,no
165,10040,565,577,650,14,1,1,1,1,1,No,M,33000,National,Masters,1792,yes
166,21750,333,277,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,754,yes
167,55166,550,100,500,17,1,1,1,0,0,No,M,320000,Promo_plan,Post Primary,1150,no
168,36785,398,144,630,36,0,0,2,1,0,No,M,145000,National,Masters,1172,no
169,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
193,15563,105,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,219,no
171,10040,999,1200,1145,,1,1,2,1,1,Yes,M,80000,National,PhD,3344,yes
172,21750,5,2,1,23,0,0,1,0,0,Yes,M,80000,International,Post Primary,8,yes
173,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,Post Primary,1031,no
174,36785,555,444,678,27,1,1,2,1,0,No,F,134000,National,PhD,1677,no
175,45987,600,456,398,13,0,1,1,1,0,Yes,M,88000,International,Masters,1454,yes
199,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
177,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,yes
178,21750,678,1222,598,30,1,1,2,0,1,Yes,M,46000,International,Post Primary,2498,yes
179,55166,1100,1000,56,15,1,0,1,1,0,No,M,98000,Promo_plan,Post Primary,2156,no
180,36785,97,56,97,8,0,0,1,0,1,No,M,125000,National,Post Primary,250,no
181,45987,14000,15000,66,44,0,0,1,0,0,No,F,91000,International,PhD,29066,no
216,15563,105,7,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,211,no
183,10040,1,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,yes
184,21750,5,15,75,6,1,0,1,1,0,No,F,39000,International,Post Primary,95,yes
185,36785,100,9000,60,10,1,0,2,1,1,Yes,M,50000,Euro-Zone,Primary,9160,yes
186,45987,10,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,80,no
187,15563,1004,800,944,26,1,1,3,1,1,Yes,M,225000,International,PhD,2748,no
188,10040,565,577,650,14,1,1,1,1,1,No,M,33000,National,Masters,1792,yes
189,21750,333,277,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,754,yes
190,55166,550,100,500,17,1,1,1,0,0,No,M,320000,Promo_plan,Post Primary,1150,no
191,36785,398,144,630,36,0,0,2,1,0,No,M,145000,National,Post Primary,1172,no
192,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
222,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
194,10040,999,1200,1145,3,1,1,2,1,1,Yes,M,80000,National,Masters,3344,yes
195,21750,5,2,1,23,0,0,1,0,0,No,M,80000,International,Post Primary,8,yes
196,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,Post Primary,1031,no
197,36785,555,444,678,27,1,1,2,1,0,No,F,134000,National,PhD,1677,no
198,45987,600,456,398,13,0,1,1,1,0,Yes,M,88000,International,Masters,1454,yes
239,15563,105,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,219,no
200,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,yes
201,21750,678,1222,598,30,1,1,2,0,1,Yes,M,46000,International,Post Primary,2498,yes
202,55166,110,98,56,15,1,0,1,1,0,No,M,98000,Promo_plan,Post Primary,264,no
203,36785,97,56,97,8,0,0,1,0,1,No,M,125000,National,Post Primary,250,no
204,45987,45,23,66,44,0,0,1,0,0,No,F,91000,International,PhD,134,no
245,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
206,10040,1,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,yes
207,21750,5000,7000,75,6,1,0,1,1,0,No,F,39000,International,Post Primary,12075,yes
208,36785,100,190,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,350,yes
209,45987,10,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,80,no
210,15563,1004,800,944,26,1,1,3,1,1,Yes,M,225000,International,PhD,2748,no
211,10040,5678,3457,2156,14,1,1,1,1,1,No,M,33000,National,Masters,11291,no
212,21750,333,122,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,599,yes
213,55166,550,100,1453,17,1,1,1,0,0,No,M,320000,Promo_plan,Post Primary,2103,no
214,36785,398,2452,4789,36,0,0,2,1,0,No,M,145000,National,Post Primary,7639,no
215,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
9,15563,105,7,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,211,no
217,10040,9456,14325,12456,3,1,1,2,1,1,Yes,F,80000,Euro-Zone,PhD,36237,yes
218,21750,5,2,1,23,0,0,1,0,0,No,M,80000,International,Post Primary,8,no
219,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,Post Primary,1031,no
220,36785,555,444,678,27,1,1,2,1,0,No,F,134000,National,PhD,1677,no
221,45987,600,5673,3456,13,0,1,1,1,0,Yes,M,34000,International,Masters,9729,yes
15,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
223,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,yes
224,21750,678,55,598,30,1,1,2,0,1,Yes,M,46000,International,Post Primary,1331,yes
225,55166,110,98,56,15,1,0,1,1,0,No,M,98000,Promo_plan,Post Primary,264,no
226,36785,97,56,5,8,0,0,1,0,1,No,M,125000,National,Post Primary,158,no
227,45987,45,223,66,44,0,0,1,0,0,No,F,91000,International,PhD,334,no
32,15563,105,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,219,no
229,10040,100,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,yes
230,21750,5,7,75,6,1,0,1,1,0,No,F,39000,International,Post Primary,87,yes
231,36785,100,90,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,250,yes
232,45987,999,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,1069,no
233,15563,1004,800,944,26,1,1,3,1,1,Yes,M,225000,International,PhD,2748,yes
234,10040,565,577,650,14,1,1,1,1,1,No,M,33000,National,Masters,1792,yes
235,21750,333,277,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,754,yes
236,55166,5,100,500,17,1,1,1,0,0,No,M,320000,Promo_plan,PhD,605,no
237,36785,398,144,630,36,0,0,2,1,0,No,M,145000,National,,1172,no
238,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
38,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
240,10040,999,1200,1145,3,1,1,2,1,1,Yes,M,80000,National,Bachelors,3344,yes
241,21750,500,2,1,23,0,0,1,0,0,Yes,M,80000,International,Post Primary,503,yes
242,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,Post Primary,1031,no
243,36785,555,7654,8732,27,1,1,2,1,0,Yes,F,134000,Euro-Zone,PhD,16941,yes
244,45987,600,456,398,13,0,1,1,1,0,Yes,M,88000,International,Masters,1454,yes
55,15563,5,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,119,no
246,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,yes
247,21750,678,1222,598,30,1,1,2,0,1,Yes,M,46000,International,Post Primary,2498,yes
248,55166,110,98,56,15,1,0,1,1,0,No,M,98000,Promo_plan,Post Primary,264,no
249,36785,97,5587,4693,8,0,0,1,0,1,Yes,M,34005,Euro-Zone,PhD,10377,yes
250,45987,45,23,66,44,0,0,1,0,0,No,F,91000,International,PhD,134,no
61,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
252,10040,99,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,yes
253,21750,5,15,75,6,1,0,1,1,0,No,F,39000,International,Post Primary,95,yes
254,36785,100,90,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,250,yes
255,45987,10,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,80,no
256,15563,10,800,944,26,1,1,3,1,1,Yes,M,225000,International,PhD,1754,yes
1,36785,100,190,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,350,yes
2,45987,10,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,80,no
3,15563,1004,800,944,26,1,1,3,1,1,Yes,M,225000,International,PhD,2748,no
4,10040,5678,3457,2156,14,1,1,1,1,1,No,M,33000,National,Masters,11291,no
5,21750,333,122,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,599,yes
6,55166,550,100,1453,17,1,1,1,0,0,No,M,320000,Promo_plan,Post Primary,2103,no
7,36785,398,2452,4789,36,0,0,2,1,0,No,M,145000,National,Post Primary,7639,no
8,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
78,15563,105,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,219,no
10,10040,9456,14325,12456,3,1,1,2,1,1,Yes,F,80000,Euro-Zone,PhD,36237,yes
11,21750,5,2,1,23,0,0,1,0,0,No,M,80000,International,Post Primary,8,no
12,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,Post Primary,1031,no
13,36785,555,444,678,27,1,1,2,1,0,No,F,134000,National,PhD,1677,no
